"F",1,1,48
2,15
2,19
2,21
2,23
2,25
2,27
2,29
2,31
2,33
2,35
2,37
2,39
2,41
2,43
2,45
2,47
4,9
4,11
4,49
6,51
8,51
10,7
12,7
14,5
16,5
16,49
18,7
18,11
18,13
18,29
18,31
18,33
18,49
20,15
20,17
20,19
20,29
20,37
20,39
20,41
20,43
20,51
22,23
22,25
22,31
22,49
22,51
24,51
"F",2,49,104
2,17
4,15
6,13
6,19
8,11
8,19
10,11
10,19
14,11
14,19
16,11
16,19
18,11
20,11
20,21
22,9
22,23
22,25
24,9
24,27
24,31
24,37
26,11
26,29
26,41
26,45
26,51
28,11
28,43
28,45
28,51
30,11
30,51
32,11
32,51
34,51
36,5
36,51
38,7
38,9
38,15
38,17
38,19
38,51
40,19
40,51
42,21
42,31
42,37
42,41
42,47
42,51
44,23
44,25
44,29
46,27
"F",3,105,157
1,17
3,15
13,19
15,13
17,13
17,23
19,13
19,25
21,15
21,27
23,15
23,29
23,35
23,37
23,41
23,47
23,49
23,51
25,15
25,43
25,51
27,15
27,51
29,51
31,15
31,51
33,17
33,51
35,11
35,13
35,19
35,51
37,11
37,17
37,19
37,51
39,13
39,51
41,15
41,23
41,25
41,41
41,43
41,45
41,51
43,19
43,27
43,37
43,47
43,51
45,29
45,33
45,35
"F",4,158,209
2,15
4,13
12,17
14,11
14,19
16,11
16,23
18,11
18,25
18,27
20,29
22,31
22,35
22,39
22,43
22,47
22,49
22,51
24,45
24,51
26,51
28,13
28,51
30,15
30,51
32,17
32,19
32,51
34,13
34,51
36,13
36,15
36,17
36,19
36,51
38,13
38,43
38,45
38,51
40,15
40,17
40,23
40,25
40,39
40,47
40,51
42,29
42,33
42,37
42,49
44,31
44,35
"F",5,210,257
2,15
4,17
6,19
8,23
10,13
10,25
12,13
12,27
14,13
14,29
16,13
16,31
18,31
20,13
20,33
20,39
20,43
20,47
20,49
20,51
22,45
22,51
24,51
26,51
28,15
28,51
30,15
30,51
32,13
32,51
34,15
34,51
36,19
36,21
36,23
36,43
36,45
36,51
38,27
38,39
38,47
38,51
40,31
40,33
40,37
40,49
42,29
42,31
"F",6,258,308
2,21
2,23
4,27
6,23
6,29
8,31
10,25
10,31
12,25
12,33
14,23
14,33
16,21
18,21
20,21
22,21
22,35
22,39
22,43
22,47
22,49
22,51
24,21
24,45
24,51
26,51
28,51
30,21
30,51
32,15
32,17
32,19
32,51
34,17
34,21
34,51
36,25
36,51
38,25
38,43
38,45
38,51
40,27
40,39
40,47
40,51
42,29
42,37
42,49
44,31
44,33
"F",7,309,361
2,25
2,27
4,25
4,29
6,31
8,27
8,33
10,27
10,35
12,27
14,27
14,37
16,25
16,37
22,39
22,43
22,47
22,49
22,51
24,45
24,51
26,25
26,51
28,23
28,51
30,21
30,51
32,17
32,19
32,51
34,17
34,19
34,21
34,23
34,25
34,51
36,25
36,51
38,25
38,43
38,45
38,51
