"F",1,1,0
0,0
"F",2,1,16
3,9
3,10
4,8
5,8
6,7
7,7
8,6
9,6
10,5
11,5
12,4
13,4
14,3
15,3
16,2
17,2
"F",3,17,95
1,10
2,10
3,10
4,10
5,11
6,11
8,11
10,9
14,6
15,9
16,7
16,9
18,9
18,11
20,9
20,11
21,8
22,13
23,4
23,14
24,5
24,7
24,13
26,13
27,6
28,7
28,13
29,7
29,14
29,17
30,13
30,17
31,1
31,8
32,9
32,13
32,17
34,3
34,9
34,13
34,17
35,15
36,5
36,9
36,18
38,5
38,18
39,18
40,18
42,7
42,19
44,19
46,9
46,19
48,4
48,19
50,5
50,9
50,19
52,7
52,19
54,7
54,19
56,9
56,19
58,9
58,19
60,11
60,18
62,8
62,11
63,18
64,11
64,17
64,18
66,17
67,11
68,13
70,15
"F",4,96,159
1,11
2,11
4,11
6,11
8,5
8,11
8,13
9,14
10,11
12,11
14,11
16,2
16,11
16,13
16,19
18,12
18,13
19,12
20,5
20,13
20,17
20,18
21,18
22,12
23,18
24,18
25,12
26,18
27,12
28,9
28,13
28,17
28,18
30,13
30,17
32,13
32,17
33,5
34,13
34,17
36,8
36,13
36,17
38,13
38,17
40,14
40,17
42,11
42,14
42,17
44,14
44,17
45,14
45,17
46,14
46,15
47,9
47,16
48,15
48,16
49,16
50,15
51,15
52,16
"F",5,160,216
1,13
2,13
3,13
4,13
6,12
6,13
9,12
11,12
34,8
34,11
36,3
36,8
36,9
38,5
38,9
40,9
41,7
42,7
42,9
44,3
44,7
44,9
46,3
46,4
46,7
47,6
47,8
48,3
48,4
49,4
49,6
49,8
50,3
51,8
52,3
53,8
54,2
54,3
54,7
56,4
56,7
57,4
58,4
58,7
60,4
60,7
60,8
61,8
62,3
62,5
63,7
64,5
64,9
66,5
66,6
68,5
70,11
"F",6,217,258
1,14
2,14
4,14
6,13
6,14
8,13
10,13
11,13
33,8
34,12
36,3
38,7
41,11
44,9
44,11
46,11
48,5
48,7
48,11
50,5
50,10
52,5
53,10
54,3
54,5
54,10
56,5
56,10
58,9
60,9
62,5
62,7
62,9
64,5
64,7
