6
1,25,20,35,64,17,25,50,10,6,0,Zombie
2,25,20,35,64,17,55,50,10,6,0,Zombie
3,25,20,35,64,17,85,50,10,6,0,Zombie
4,25,20,35,64,17,115,50,10,6,0,Zombie
5,25,20,35,64,17,145,50,10,6,0,Zombie
6,25,20,35,64,17,175,50,10,6,0,Zombie
7,25,20,35,64,17,85,50,10,6,0,Zombie
8,25,20,35,64,17,95,50,10,6,0,Zombie
9,25,20,35,64,17,105,50,10,6,0,Zombie
10,25,20,35,64,17,115,50,10,6,0,Zombie
11,25,20,35,64,17,125,50,10,6,0,Zombie
12,25,20,35,64,17,135,50,10,6,0,Zombie
13,25,20,35,64,17,145,50,10,6,0,Zombie
14,25,20,35,64,17,190,50,10,6,0,Zombie
15,25,20,35,64,17,195,50,10,6,0,Zombie
16,25,20,35,64,17,200,50,10,6,0,Zombie
17,25,20,35,64,17,205,50,10,6,0,Zombie
18,25,20,35,64,17,210,50,10,6,0,Zombie
19,25,20,35,64,17,215,50,10,6,0,Zombie
